"state","county","name","value","Ancestry"
47,"037","DP02_0126E",1085,"Danish"
47,"037","DP02_0125E",1567,"Czech"
47,"037","DP02_0124E",18865,"Arab"
47,"037","DP02_0123E",57341,"American"
47,"037","DP02_0122E",684017,"Total"
47,"037","DP02_0129E",12261,"French (except Basque)"
47,"037","DP02_0128E",51719,"English"
47,"037","DP02_0127E",5782,"Dutch"
47,"037","DP02_0130E",1870,"French Canadian"
47,"037","DP02_0149E",3059,"West Indian (excluding Hispanic origin groups)"
47,"037","DP02_0148E",4190,"Welsh"
47,"037","DP02_0147E",797,"Ukrainian"
47,"037","DP02_0146E",1682,"Swiss"
47,"037","DP02_0145E",3792,"Swedish"
47,"037","DP02_0144E",21405,"Subsaharan African"
47,"037","DP02_0143E",496,"Slovak"
47,"037","DP02_0138E",8560,"Polish"
47,"037","DP02_0137E",3691,"Norwegian"
47,"037","DP02_0136E",698,"Lithuanian"
47,"037","DP02_0135E",16654,"Italian"
47,"037","DP02_0134E",54531,"Irish"
47,"037","DP02_0133E",1156,"Hungarian"
47,"037","DP02_0132E",1574,"Greek"
47,"037","DP02_0131E",58537,"German"
47,"037","DP02_0139E",624,"Portuguese"
47,"037","DP02_0142E",14383,"Scottish"
47,"037","DP02_0141E",12141,"Scotch-Irish"
47,"037","DP02_0140E",3647,"Russian"
