"metro_area","race","estimate"
"Chattanooga, TN-GA Metro Area","White alone",458761
"Chattanooga, TN-GA Metro Area","Black or African American alone",75097
"Chattanooga, TN-GA Metro Area","American Indian and Alaska Native alone",1226
"Chattanooga, TN-GA Metro Area","Asian alone",9159
"Chattanooga, TN-GA Metro Area","Native Hawaiian and Other Pacific Islander alone",338
"Chattanooga, TN-GA Metro Area","Some other race alone",8200
"Chattanooga, TN-GA Metro Area","Two or more races",13372
"Chattanooga, TN-GA Metro Area","Two races including Some other race",636
"Chattanooga, TN-GA Metro Area","Two races excluding Some other race, and three or more races",12736
"Memphis, TN-MS-AR Metro Area","White alone",620191
"Memphis, TN-MS-AR Metro Area","Black or African American alone",639948
"Memphis, TN-MS-AR Metro Area","American Indian and Alaska Native alone",2178
"Memphis, TN-MS-AR Metro Area","Asian alone",30437
"Memphis, TN-MS-AR Metro Area","Native Hawaiian and Other Pacific Islander alone",140
"Memphis, TN-MS-AR Metro Area","Some other race alone",27992
"Memphis, TN-MS-AR Metro Area","Two or more races",24024
"Memphis, TN-MS-AR Metro Area","Two races including Some other race",1978
"Memphis, TN-MS-AR Metro Area","Two races excluding Some other race, and three or more races",22046
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","White alone",1483052
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Black or African American alone",294629
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","American Indian and Alaska Native alone",4766
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Asian alone",57245
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Native Hawaiian and Other Pacific Islander alone",1243
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Some other race alone",44032
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Two or more races",48893
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Two races including Some other race",3706
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Two races excluding Some other race, and three or more races",45187
"Knoxville, TN Metro Area","White alone",775816
"Knoxville, TN Metro Area","Black or African American alone",49702
"Knoxville, TN Metro Area","American Indian and Alaska Native alone",3902
"Knoxville, TN Metro Area","Asian alone",13510
"Knoxville, TN Metro Area","Native Hawaiian and Other Pacific Islander alone",443
"Knoxville, TN Metro Area","Some other race alone",6141
"Knoxville, TN Metro Area","Two or more races",20011
"Knoxville, TN Metro Area","Two races including Some other race",2152
"Knoxville, TN Metro Area","Two races excluding Some other race, and three or more races",17859
