"education","estimate","metro_area"
"9th to 12th grade, no diploma",45523,"Knoxville, TN Metro Area"
"Less than 9th grade",25595,"Knoxville, TN Metro Area"
"Total",600813,"Knoxville, TN Metro Area"
"High school graduate (includes equivalency)",188659,"Knoxville, TN Metro Area"
"Graduate or professional degree",67408,"Knoxville, TN Metro Area"
"Bachelor's degree",103802,"Knoxville, TN Metro Area"
"Associate's degree",46654,"Knoxville, TN Metro Area"
"Some college, no degree",123172,"Knoxville, TN Metro Area"
"9th to 12th grade, no diploma",73440,"Memphis, TN-MS-AR Metro Area"
"Less than 9th grade",36124,"Memphis, TN-MS-AR Metro Area"
"Total",880853,"Memphis, TN-MS-AR Metro Area"
"High school graduate (includes equivalency)",258064,"Memphis, TN-MS-AR Metro Area"
"Graduate or professional degree",92860,"Memphis, TN-MS-AR Metro Area"
"Bachelor's degree",151467,"Memphis, TN-MS-AR Metro Area"
"Associate's degree",62013,"Memphis, TN-MS-AR Metro Area"
"Some college, no degree",206885,"Memphis, TN-MS-AR Metro Area"
"9th to 12th grade, no diploma",82368,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"
"Less than 9th grade",49167,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"
"Total",1252170,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"
"High school graduate (includes equivalency)",338993,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"
"Graduate or professional degree",152842,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"
"Bachelor's degree",283002,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"
"Associate's degree",90837,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"
"Some college, no degree",254961,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"
"9th to 12th grade, no diploma",33441,"Chattanooga, TN-GA Metro Area"
"Less than 9th grade",16056,"Chattanooga, TN-GA Metro Area"
"Total",386117,"Chattanooga, TN-GA Metro Area"
"High school graduate (includes equivalency)",117127,"Chattanooga, TN-GA Metro Area"
"Graduate or professional degree",35407,"Chattanooga, TN-GA Metro Area"
"Bachelor's degree",65333,"Chattanooga, TN-GA Metro Area"
"Associate's degree",33539,"Chattanooga, TN-GA Metro Area"
"Some college, no degree",85214,"Chattanooga, TN-GA Metro Area"
