"metro_area","sex","age","estimate"
"Chattanooga, TN-GA Metro Area","Male","Under 20 years",71861
"Chattanooga, TN-GA Metro Area","Male","20 to 29 years",36246
"Chattanooga, TN-GA Metro Area","Male","30 to 39 years",35067
"Chattanooga, TN-GA Metro Area","Male","40 to 49 years",35875
"Chattanooga, TN-GA Metro Area","Male","50 to 59 years",34493
"Chattanooga, TN-GA Metro Area","Male","60 years and over",64088
"Chattanooga, TN-GA Metro Area","Female","Under 20 years",64277
"Chattanooga, TN-GA Metro Area","Female","20 to 29 years",35836
"Chattanooga, TN-GA Metro Area","Female","30 to 39 years",36646
"Chattanooga, TN-GA Metro Area","Female","40 to 49 years",36285
"Chattanooga, TN-GA Metro Area","Female","50 to 59 years",36156
"Chattanooga, TN-GA Metro Area","Female","60 years and over",79323
"Memphis, TN-MS-AR Metro Area","Male","Under 20 years",186219
"Memphis, TN-MS-AR Metro Area","Male","20 to 29 years",92846
"Memphis, TN-MS-AR Metro Area","Male","30 to 39 years",85749
"Memphis, TN-MS-AR Metro Area","Male","40 to 49 years",78369
"Memphis, TN-MS-AR Metro Area","Male","50 to 59 years",79000
"Memphis, TN-MS-AR Metro Area","Male","60 years and over",121373
"Memphis, TN-MS-AR Metro Area","Female","Under 20 years",178798
"Memphis, TN-MS-AR Metro Area","Female","20 to 29 years",94365
"Memphis, TN-MS-AR Metro Area","Female","30 to 39 years",94520
"Memphis, TN-MS-AR Metro Area","Female","40 to 49 years",88531
"Memphis, TN-MS-AR Metro Area","Female","50 to 59 years",89311
"Memphis, TN-MS-AR Metro Area","Female","60 years and over",155829
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","Under 20 years",256304
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","20 to 29 years",135032
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","30 to 39 years",138528
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","40 to 49 years",129302
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","50 to 59 years",120075
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","60 years and over",166832
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","Under 20 years",239692
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","20 to 29 years",140728
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","30 to 39 years",145651
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","40 to 49 years",129086
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","50 to 59 years",126307
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Female","60 years and over",206323
"Knoxville, TN Metro Area","Male","Under 20 years",100705
"Knoxville, TN Metro Area","Male","20 to 29 years",61354
"Knoxville, TN Metro Area","Male","30 to 39 years",51228
"Knoxville, TN Metro Area","Male","40 to 49 years",54722
"Knoxville, TN Metro Area","Male","50 to 59 years",55439
"Knoxville, TN Metro Area","Male","60 years and over",98883
"Knoxville, TN Metro Area","Female","Under 20 years",99779
"Knoxville, TN Metro Area","Female","20 to 29 years",59373
"Knoxville, TN Metro Area","Female","30 to 39 years",54550
"Knoxville, TN Metro Area","Female","40 to 49 years",53690
"Knoxville, TN Metro Area","Female","50 to 59 years",60193
"Knoxville, TN Metro Area","Female","60 years and over",119609
